Year,Genre,GlobalSales
1980,Shooter,4.31
1980,Shooter,2.76
1980,Misc,1.15
1980,Misc,1.05
1980,Fighting,0.77
1980,Sports,0.49
1980,Action,0.34
1980,Misc,0.27
1980,Misc,0.24
1981,Platform,4.5
1981,Action,2.2
1981,Shooter,2.13
1981,Action,1.97
1981,Puzzle,1.65
1981,Shooter,1.6
1981,Platform,1.46
1981,Shooter,1.36
1981,Shooter,1.27
1981,Shooter,1.1
1981,Shooter,1.05
1981,Platform,0.97
1981,Action,0.93
1981,Action,0.82
1981,Action,0.79
1981,Action,0.77
1981,Shooter,0.73
1981,Action,0.69
1981,Action,0.67
1981,Puzzle,0.59
1981,Action,0.59
1981,Action,0.5
1981,Racing,0.48
1981,Simulation,0.45
1981,Action,0.45
1981,Action,0.43
1981,Action,0.4
1981,Action,0.39
1981,Action,0.39
1981,Action,0.37
1981,Action,0.36
1981,Action,0.34
1981,Shooter,0.34
1981,Action,0.33
1981,Action,0.31
1981,Action,0.29
1981,Sports,0.26
1981,Action,0.24
1981,Shooter,0.24
1981,Shooter,0.22
1981,Action,0.22
1981,Action,0.22
1981,Sports,0.21
1981,Sports,0.19
1981,Action,0.17
1981,Sports,0.13
1982,Puzzle,7.81
1982,Puzzle,1.64
1982,Platform,1.59
1982,Racing,1.18
1982,Shooter,1.12
1982,Platform,1.1
1982,Platform,1.08
1982,Misc,0.87
1982,Shooter,0.78
1982,Shooter,0.77
1982,Platform,0.72
1982,Action,0.66
1982,Action,0.63
1982,Shooter,0.62
1982,Action,0.62
1982,Puzzle,0.58
1982,Sports,0.55
1982,Action,0.54
1982,Platform,0.54
1982,Shooter,0.5
1982,Sports,0.5
1982,Action,0.5
1982,Action,0.4
1982,Racing,0.39
1982,Action,0.38
1982,Action,0.34
1982,Action,0.34
1982,Action,0.32
1982,Action,0.31
1982,Action,0.28
1982,Action,0.27
1982,Action,0.25
1982,Action,0.22
1982,Action,0.17
1982,Action,0.15
1982,Action,0.14
1983,Sports,3.2
1983,Platform,2.28
1983,Misc,2.14
1983,Platform,1.31
1983,Platform,1.13
1983,Platform,1.11
1983,Platform,1.1
1983,Puzzle,0.78
1983,Action,0.77
1983,Action,0.5
1983,Shooter,0.48
1983,Action,0.46
1983,Adventure,0.4
1983,Action,0.34
1983,Action,0.33
1983,Action,0.29
1983,Action,0.17
1984,Shooter,28.31
1984,Racing,4.16
1984,Sports,4.01
1984,Sports,2.17
1984,Action,1.85
1984,Racing,1.52
1984,Shooter,1.52
1984,Misc,1.45
1984,Shooter,1.27
1984,Puzzle,1.22
1984,Puzzle,1.1
1984,Puzzle,0.82
1984,Platform,0.69
1984,Racing,0.27
1985,Platform,40.24
1985,Action,3.5
1985,Sports,1.96
1985,Platform,1.5
1985,Puzzle,1.32
1985,Fighting,1.05
1985,Puzzle,1.03
1985,Shooter,1
1985,Platform,0.92
1985,Platform,0.51
1985,Puzzle,0.45
1985,Puzzle,0.41
1985,Simulation,0.03
1985,Action,0.02
1986,Action,6.51
1986,Sports,3.08
1986,Action,2.73
1986,Platform,2.65
1986,Role-Playing,2.52
1986,Sports,2.2
1986,Racing,1.96
1986,Platform,1.76
1986,Action,1.64
1986,Platform,1.5
1986,Shooter,1.36
1986,Platform,1.23
1986,Shooter,1.2
1986,Platform,1.2
1986,Action,1.15
1986,Action,1.14
1986,Platform,1.05
1986,Shooter,0.96
1986,Action,0.57
1986,Shooter,0.37
1986,Sports,0.29
1987,Adventure,4.38
1987,Fighting,3.02
1987,Role-Playing,2.56
1987,Fighting,2.4
1987,Sports,2.15
1987,Sports,1.42
1987,Role-Playing,1.25
1987,Platform,0.93
1987,Role-Playing,0.84
1987,Platform,0.81
1987,Action,0.65
1987,Action,0.47
1987,Shooter,0.45
1987,Shooter,0.26
1987,Sports,0.08
1987,Sports,0.07
1988,Platform,17.28
1988,Platform,7.46
1988,Puzzle,5.58
1988,Role-Playing,3.87
1988,Sports,2.42
1988,Racing,2.14
1988,Platform,1.56
1988,Action,1.51
1988,Platform,1.43
1988,Role-Playing,1.25
1988,Sports,1.18
1988,Role-Playing,0.76
1988,Shooter,0.51
1988,Action,0.24
1988,Simulation,0.03
1989,Puzzle,30.26
1989,Platform,18.14
1989,Puzzle,5.34
1989,Action,4.17
1989,Sports,2.12
1989,Sports,1.99
1989,Puzzle,1.94
1989,Platform,1.67
1989,Sports,1.61
1989,Misc,1.28
1989,Shooter,1.2
1989,Role-Playing,1.1
1989,Role-Playing,1.1
1989,Platform,0.85
1989,Action,0.47
1989,Puzzle,0.15
1989,Puzzle,0.06
1990,Platform,20.61
1990,Puzzle,4.85
1990,Racing,3.41
1990,Role-Playing,3.12
1990,Racing,2.85
1990,Action,2.6
1990,Action,2.23
1990,Action,1.56
1990,Sports,1.48
1990,Role-Playing,1.4
